EU	ORGANIZATION
rejects	O
German	MISC
call	O
to	O
boycott	O
British	MISC
lamb	O
.	O
Peter	PERSON
Blackburn	PERSON
BRUSSELS	LOCATION
1996-08-22	O
The	O
European	ORGANIZATION
Commission	ORGANIZATION
said	O
on	O
Thursday	O
it	O
disagreed	O
with	O
German	MISC
advice	O
to	O
consumers	O
to	O
shun	O
British	MISC
lamb	O
until	O
scientists	O
determine	O
whether	O
mad	O
cow	O
disease	O
can	O
be	O
transmitted	O
to	O
sheep	O
.	O
Germany	LOCATION
's	O
representative	O
to	O
the	O
European	ORGANIZATION
Union	ORGANIZATION
's	O
veterinary	O
committee	O
Werner	PERSON
Zwingmann	PERSON
said	O
on	O
Wednesday	O
consumers	O
should	O
buy	O
sheepmeat	O
from	O
countries	O
other	O
than	O
Britain	LOCATION
until	O
the	O
scientific	O
advice	O
was	O
clearer	O
.	O
 	
We	O
do	O
n't	O
support	O
any	O
such	O
recommendation	O
because	O
we	O
do	O
n't	O
see	O
any	O
grounds	O
for	O
it	O
,	O
 	
the	O
Commission	ORGANIZATION
's	O
chief	O
spokesman	O
Nikolaus	PERSON
van	PERSON
der	PERSON
Pas	PERSON
told	O
a	O
news	O
briefing	O
.	O
He	O
said	O
further	O
scientific	O
study	O
was	O
required	O
and	O
if	O
it	O
was	O
found	O
that	O
action	O
was	O
needed	O
it	O
should	O
be	O
taken	O
by	O
the	O
European	ORGANIZATION
Union	ORGANIZATION
.	O
He	O
said	O
a	O
proposal	O
last	O
month	O
by	O
EU	ORGANIZATION
Farm	O
Commissioner	O
Franz	PERSON
Fischler	PERSON
to	O
ban	O
sheep	O
brains	O
,	O
spleens	O
and	O
spinal	O
cords	O
from	O
the	O
human	O
and	O
animal	O
food	O
chains	O
was	O
a	O
highly	O
specific	O
and	O
precautionary	O
move	O
to	O
protect	O
human	O
health	O
.	O
Fischler	PERSON
proposed	O
EU-wide	MISC
measures	O
after	O
reports	O
from	O
Britain	LOCATION
and	O
France	LOCATION
that	O
under	O
laboratory	O
conditions	O
sheep	O
could	O
contract	O
Bovine	MISC
Spongiform	MISC
Encephalopathy	MISC
(	O
BSE	MISC
)	O
--	O
mad	O
cow	O
disease	O
.	O
But	O
Fischler	PERSON
agreed	O
to	O
review	O
his	O
proposal	O
after	O
the	O
EU	ORGANIZATION
's	O
standing	O
veterinary	O
committee	O
,	O
mational	O
animal	O
health	O
officials	O
,	O
questioned	O
if	O
such	O
action	O
was	O
justified	O
as	O
there	O
was	O
only	O
a	O
slight	O
risk	O
to	O
human	O
health	O
.	O
Spanish	MISC
Farm	O
Minister	O
Loyola	PERSON
de	PERSON
Palacio	PERSON
had	O
earlier	O
accused	O
Fischler	PERSON
at	O
an	O
EU	ORGANIZATION
farm	O
ministers	O
'	O
meeting	O
of	O
causing	O
unjustified	O
alarm	O
through	O
 	
dangerous	O
generalisation	O
.	O
 	
.	O
Only	O
France	LOCATION
and	O
Britain	LOCATION
backed	O
Fischler	PERSON
's	O
proposal	O
.	O
The	O
EU	ORGANIZATION
's	O
scientific	O
veterinary	O
and	O
multidisciplinary	O
committees	O
are	O
due	O
to	O
re-examine	O
the	O
issue	O
early	O
next	O
month	O
and	O
make	O
recommendations	O
to	O
the	O
senior	O
veterinary	O
officials	O
.	O
Sheep	O
have	O
long	O
been	O
known	O
to	O
contract	O
scrapie	O
,	O
a	O
brain-wasting	O
disease	O
similar	O
to	O
BSE	MISC
which	O
is	O
believed	O
to	O
have	O
been	O
transferred	O
to	O
cattle	O
through	O
feed	O
containing	O
animal	O
waste	O
.	O
British	MISC
farmers	O
denied	O
on	O
Thursday	O
there	O
was	O
any	O
danger	O
to	O
human	O
health	O
from	O
their	O
sheep	O
,	O
but	O
expressed	O
concern	O
that	O
German	MISC
government	O
advice	O
to	O
consumers	O
to	O
avoid	O
British	MISC
lamb	O
might	O
influence	O
consumers	O
across	O
Europe	LOCATION
.	O
 	
What	O
we	O
have	O
to	O
be	O
extremely	O
careful	O
of	O
is	O
how	O
other	O
countries	O
are	O
going	O
to	O
take	O
Germany	LOCATION
's	O
lead	O
,	O
 	
Welsh	ORGANIZATION
National	ORGANIZATION
Farmers	ORGANIZATION
'	ORGANIZATION
Union	ORGANIZATION
(	O
NFU	ORGANIZATION
)	O
chairman	O
John	PERSON
Lloyd	PERSON
Jones	PERSON
said	O
on	O
BBC	ORGANIZATION
radio	ORGANIZATION
.	O
Bonn	LOCATION
has	O
led	O
efforts	O
to	O
protect	O
public	O
health	O
after	O
consumer	O
confidence	O
collapsed	O
in	O
March	O
after	O
a	O
British	MISC
report	O
suggested	O
humans	O
could	O
contract	O
an	O
illness	O
similar	O
to	O
mad	O
cow	O
disease	O
by	O
eating	O
contaminated	O
beef	O
.	O
Germany	LOCATION
imported	O
47,600	O
sheep	O
from	O
Britain	LOCATION
last	O
year	O
,	O
nearly	O
half	O
of	O
total	O
imports	O
.	O
It	O
brought	O
in	O
4,275	O
tonnes	O
of	O
British	MISC
mutton	O
,	O
some	O
10	O
percent	O
of	O
overall	O
imports	O
.	O
-DOCSTART-	O
Rare	O
Hendrix	PERSON
song	O
draft	O
sells	O
for	O
almost	O
$	O
17,000	O
.	O
LONDON	LOCATION
1996-08-22	O
A	O
rare	O
early	O
handwritten	O
draft	O
of	O
a	O
song	O
by	O
U.S.	LOCATION
guitar	O
legend	O
Jimi	PERSON
Hendrix	PERSON
was	O
sold	O
for	O
almost	O
$	O
17,000	O
on	O
Thursday	O
at	O
an	O
auction	O
of	O
some	O
of	O
the	O
late	O
musician	O
's	O
favourite	O
possessions	O
.	O
A	O
Florida	LOCATION
restaurant	O
paid	O
10,925	O
pounds	O
(	O
$	O
16,935	O
)	O
for	O
the	O
draft	O
of	O
 	
Ai	MISC
n't	MISC
no	MISC
telling	MISC
 	
,	O
which	O
Hendrix	PERSON
penned	O
on	O
a	O
piece	O
of	O
London	LOCATION
hotel	O
stationery	O
in	O
late	O
1966	O
.	O
At	O
the	O
end	O
of	O
a	O
January	O
1967	O
concert	O
in	O
the	O
English	MISC
city	O
of	O
Nottingham	LOCATION
he	O
threw	O
the	O
sheet	O
of	O
paper	O
into	O
the	O
audience	O
,	O
where	O
it	O
was	O
retrieved	O
by	O
a	O
fan	O
.	O
Buyers	O
also	O
snapped	O
up	O
16	O
other	O
items	O
that	O
were	O
put	O
up	O
for	O
auction	O
by	O
Hendrix	PERSON
's	O
former	O
girlfriend	O
Kathy	PERSON
Etchingham	PERSON
,	O
who	O
lived	O
with	O
him	O
from	O
1966	O
to	O
1969	O
.	O
They	O
included	O
a	O
black	O
lacquer	O
and	O
mother	O
of	O
pearl	O
inlaid	O
box	O
used	O
by	O
Hendrix	PERSON
to	O
store	O
his	O
drugs	O
,	O
which	O
an	O
anonymous	O
Australian	MISC
purchaser	O
bought	O
for	O
5,060	O
pounds	O
(	O
$	O
7,845	O
)	O
.	O
The	O
guitarist	O
died	O
of	O
a	O
drugs	O
overdose	O
in	O
1970	O
aged	O
27	O
.	O
-DOCSTART-	O
China	LOCATION
says	O
Taiwan	LOCATION
spoils	O
atmosphere	O
for	O
talks	O
.	O
BEIJING	LOCATION
1996-08-22	O
China	LOCATION
on	O
Thursday	O
accused	O
Taipei	LOCATION
of	O
spoiling	O
the	O
atmosphere	O
for	O
a	O
resumption	O
of	O
talks	O
across	O
the	O
Taiwan	LOCATION
Strait	LOCATION
with	O
a	O
visit	O
to	O
Ukraine	LOCATION
by	O
Taiwanese	MISC
Vice	O
President	O
Lien	PERSON
Chan	PERSON
this	O
week	O
that	O
infuriated	O
Beijing	LOCATION
.	O
Speaking	O
only	O
hours	O
after	O
Chinese	MISC
state	O
media	O
said	O
the	O
time	O
was	O
right	O
to	O
engage	O
in	O
political	O
talks	O
with	O
Taiwan	LOCATION
,	O
Foreign	ORGANIZATION
Ministry	ORGANIZATION
spokesman	O
Shen	PERSON
Guofang	PERSON
told	O
Reuters	ORGANIZATION
:	O
 	
The	O
necessary	O
atmosphere	O
for	O
the	O
opening	O
of	O
the	O
talks	O
has	O
been	O
disrupted	O
by	O
the	O
Taiwan	LOCATION
authorities	O
.	O
 	
State	O
media	O
quoted	O
China	LOCATION
's	O
top	O
negotiator	O
with	O
Taipei	LOCATION
,	O
Tang	PERSON
Shubei	PERSON
,	O
as	O
telling	O
a	O
visiting	O
group	O
from	O
Taiwan	LOCATION
on	O
Wednesday	O
that	O
it	O
was	O
time	O
for	O
the	O
rivals	O
to	O
hold	O
political	O
talks	O
.	O
 	
Now	O
is	O
the	O
time	O
for	O
the	O
two	O
sides	O
to	O
engage	O
in	O
political	O
talks	O
...	O
that	O
is	O
to	O
end	O
the	O
state	O
of	O
hostility	O
,	O
 	
Thursday	O
's	O
overseas	O
edition	O
of	O
the	O
People	ORGANIZATION
's	ORGANIZATION
Daily	ORGANIZATION
quoted	O
Tang	PERSON
as	O
saying	O
.	O
The	O
foreign	O
ministry	O
's	O
Shen	ORGANIZATION
told	O
Reuters	ORGANIZATION
Television	ORGANIZATION
in	O
an	O
interview	O
he	O
had	O
read	O
reports	O
of	O
Tang	PERSON
's	O
comments	O
but	O
gave	O
no	O
details	O
of	O
why	O
the	O
negotiator	O
had	O
considered	O
the	O
time	O
right	O
for	O
talks	O
with	O
Taiwan	LOCATION
,	O
which	O
Beijing	LOCATION
considers	O
a	O
renegade	O
province	O
.	O
China	LOCATION
,	O
which	O
has	O
long	O
opposed	O
all	O
Taipei	LOCATION
efforts	O
to	O
gain	O
greater	O
international	O
recognition	O
,	O
was	O
infuriated	O
by	O
a	O
visit	O
to	O
Ukraine	LOCATION
this	O
week	O
by	O
Taiwanese	MISC
Vice	O
President	O
Lien	PERSON
.	O
-DOCSTART-	O
China	LOCATION
says	O
time	O
right	O
for	O
Taiwan	LOCATION
talks	O
.	O
BEIJING	LOCATION
1996-08-22	O
China	LOCATION
has	O
said	O
it	O
was	O
time	O
for	O
political	O
talks	O
with	O
Taiwan	LOCATION
and	O
that	O
the	O
rival	O
island	O
should	O
take	O
practical	O
steps	O
towards	O
that	O
goal	O
.	O
Consultations	O
should	O
be	O
held	O
to	O
set	O
the	O
time	O
and	O
format	O
of	O
the	O
talks	O
,	O
the	O
official	O
Xinhua	ORGANIZATION
news	O
agency	O
quoted	O
Tang	PERSON
Shubei	PERSON
,	O
executive	O
vice	O
chairman	O
of	O
the	O
Association	ORGANIZATION
for	ORGANIZATION
Relations	ORGANIZATION
Across	ORGANIZATION
the	ORGANIZATION
Taiwan	ORGANIZATION
Straits	ORGANIZATION
,	O
as	O
saying	O
late	O
on	O
Wednesday	O
.	O
-DOCSTART-	O
German	MISC
July	O
car	O
registrations	O
up	O
14.2	O
pct	O
yr	O
/	O
yr	O
.	O
FRANKFURT	LOCATION
1996-08-22	O
German	MISC
first-time	O
registrations	O
of	O
motor	O
vehicles	O
jumped	O
14.2	O
percent	O
in	O
July	O
this	O
year	O
from	O
the	O
year-earlier	O
period	O
,	O
the	O
Federal	ORGANIZATION
office	ORGANIZATION
for	ORGANIZATION
motor	ORGANIZATION
vehicles	ORGANIZATION
said	O
on	O
Thursday	O
.	O
The	O
office	O
said	O
356,725	O
new	O
cars	O
were	O
registered	O
in	O
July	O
1996	O
--	O
304,850	O
passenger	O
cars	O
and	O
15,613	O
trucks	O
.	O
The	O
figures	O
represent	O
a	O
13.6	O
percent	O
increase	O
for	O
passenger	O
cars	O
and	O
a	O
2.2	O
percent	O
decline	O
for	O
trucks	O
from	O
July	O
1995	O
.	O
Motor-bike	O
registration	O
rose	O
32.7	O
percent	O
in	O
the	O
period	O
.	O
The	O
growth	O
was	O
partly	O
due	O
to	O
an	O
increased	O
number	O
of	O
Germans	MISC
buying	O
German	MISC
cars	O
abroad	O
,	O
while	O
manufacturers	O
said	O
that	O
domestic	O
demand	O
was	O
weak	O
,	O
the	O
federal	O
office	O
said	O
.	O
Almost	O
all	O
German	MISC
car	O
manufacturers	O
posted	O
gains	O
in	O
registration	O
numbers	O
in	O
